date,series_id,value,unit,frequency,release_version
2009-01-03,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-04,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-05,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-06,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-07,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-08,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-09,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-10,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-11,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-12,obm_cdd_btcxdays_daily,170.14780093,BTC-days,daily,OBM v0.1.0
2009-01-13,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-14,obm_cdd_btcxdays_daily,76.67424769,BTC-days,daily,OBM v0.1.0
2009-01-15,obm_cdd_btcxdays_daily,679.26157407,BTC-days,daily,OBM v0.1.0
2009-01-16,obm_cdd_btcxdays_daily,408.68171296,BTC-days,daily,OBM v0.1.0
2009-01-17,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-18,obm_cdd_btcxdays_daily,336.08043981,BTC-days,daily,OBM v0.1.0
2009-01-19,obm_cdd_btcxdays_daily,3080.10648148,BTC-days,daily,OBM v0.1.0
2009-01-20,obm_cdd_btcxdays_daily,1507.12905093,BTC-days,daily,OBM v0.1.0
2009-01-21,obm_cdd_btcxdays_daily,352.49016204,BTC-days,daily,OBM v0.1.0
2009-01-22,obm_cdd_btcxdays_daily,1967.48148148,BTC-days,daily,OBM v0.1.0
2009-01-23,obm_cdd_btcxdays_daily,1635.07175926,BTC-days,daily,OBM v0.1.0
2009-01-24,obm_cdd_btcxdays_daily,2365.34201389,BTC-days,daily,OBM v0.1.0
2009-01-25,obm_cdd_btcxdays_daily,88.84606481,BTC-days,daily,OBM v0.1.0
2009-01-26,obm_cdd_btcxdays_daily,3058.69039352,BTC-days,daily,OBM v0.1.0
2009-01-27,obm_cdd_btcxdays_daily,281.22800926,BTC-days,daily,OBM v0.1.0
2009-01-28,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-29,obm_cdd_btcxdays_daily,1498.52662037,BTC-days,daily,OBM v0.1.0
2009-01-30,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-01-31,obm_cdd_btcxdays_daily,12310.69849537,BTC-days,daily,OBM v0.1.0
2009-02-01,obm_cdd_btcxdays_daily,115.09664352,BTC-days,daily,OBM v0.1.0
2009-02-02,obm_cdd_btcxdays_daily,868.10995370,BTC-days,daily,OBM v0.1.0
2009-02-03,obm_cdd_btcxdays_daily,881.15072905,BTC-days,daily,OBM v0.1.0
2009-02-04,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-02-05,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
2009-02-06,obm_cdd_btcxdays_daily,0.00000000,BTC-days,daily,OBM v0.1.0
